name,guard_name,prefix
admin-list,admin,Admin
admin-create,admin,Admin
admin-edit,admin,Admin
admin-delete,admin,Admin
admin-status,admin,Admin
admin-trash,admin,Admin
admin-restore,admin,Admin
admin-force-delete,admin,Admin
role-list,admin,Role
role-create,admin,Role
role-edit,admin,Role
role-delete,admin,Role
role-trash,admin,Role
role-restore,admin,Role
role-force-delete,admin,Role
permission-list,admin,Permission
permission-create,admin,Permission
permission-edit,admin,Permission
permission-delete,admin,Permission
permission-trash,admin,Permission
permission-restore,admin,Permission
permission-force-delete,admin,Permission